longitude	latitude
-1.353444	51.822656
-1.353444	51.822661
-1.35343	51.822681
-1.353443	51.822649
-1.353442	51.822609
-1.353498	51.822539
-1.353582	51.822453
-1.353681	51.822357
-1.353779	51.822259
-1.353878	51.822155
-1.353947	51.822045
-1.353958	51.821935
-1.353911	51.821826
-1.35385	51.821717
-1.353802	51.821601
-1.353784	51.821485
-1.353765	51.821361
-1.353733	51.821245
-1.353642	51.821129
-1.353566	51.821021
-1.353476	51.820943
-1.353358	51.820873
-1.353197	51.820828
-1.353007	51.820809
-1.352819	51.820817
-1.352674	51.820855
-1.352517	51.820932
-1.352403	51.821009
-1.352362	51.821091
-1.352364	51.821179
-1.352439	51.821274
-1.352514	51.821356
-1.352617	51.821411
-1.352747	51.821415
-1.352891	51.821374
-1.353019	51.821295
-1.353117	51.821177
-1.353186	51.82106
-1.353138	51.820919
-1.353089	51.82077
-1.352998	51.820642
-1.352878	51.820521
-1.352744	51.820406
-1.352596	51.820298
-1.352405	51.820223
-1.352214	51.820141
-1.352023	51.820048
-1.351845	51.819933
-1.351711	51.81982
-1.351591	51.819699
-1.351485	51.819558
-1.351437	51.819404
-1.351461	51.819262
-1.351457	51.81912
-1.351424	51.818984
-1.351362	51.818863
-1.3513	51.81876
-1.351181	51.818657
-1.351004	51.818562
-1.350799	51.818505
-1.350566	51.818488
-1.350364	51.818515
-1.350149	51.818618
-1.349934	51.818703
-1.349718	51.818781
-1.349503	51.818847
-1.349271	51.818886
-1.349054	51.818881
-1.348878	51.818839
-1.348731	51.818756
-1.348626	51.818642
-1.348563	51.818495
-1.348559	51.818348
-1.34867	51.818187
-1.348781	51.818025
-1.348892	51.817864
-1.348945	51.817678
-1.348998	51.817505
-1.34908	51.817331
-1.349206	51.817182
-1.349347	51.817059
-1.349532	51.816941
-1.349702	51.816824
-1.349859	51.816713
-1.349971	51.816596
-1.35001	51.816461
-1.349948	51.816327
-1.349799	51.816194
-1.349564	51.816069
-1.349272	51.816008
-1.348994	51.815941
-1.34873	51.815847
-1.348481	51.815747
-1.348245	51.815629
-1.348039	51.815504
-1.347875	51.815353
-1.347682	51.815197
-1.347518	51.815034
-1.347339	51.814871
-1.347146	51.81472
-1.346982	51.814563
-1.346804	51.814412
-1.346611	51.814262
-1.346404	51.814136
-1.346155	51.814024
-1.345948	51.813893
-1.345769	51.813742
-1.345591	51.813591
-1.345413	51.813446
-1.345221	51.813315
-1.345056	51.813157
-1.344907	51.813005
-1.344772	51.812859
-1.344609	51.812734
-1.344431	51.812626
-1.344226	51.812544
-1.34402	51.812457
-1.343843	51.812374
-1.343681	51.812292
-1.343548	51.812196
-1.343471	51.812043
-1.343437	51.811894
-1.343403	51.81174
-1.343369	51.811579
-1.343321	51.811425
-1.343229	51.811277
-1.34308	51.81115
-1.342845	51.811048
-1.342581	51.810961
-1.34236	51.81086
-1.342139	51.810746
-1.341976	51.810644
-1.341857	51.810536
-1.341809	51.810387
-1.341789	51.810233
-1.341784	51.81006
-1.341779	51.809888
-1.341774	51.809721
-1.341754	51.809536
-1.34172	51.80937
-1.341629	51.809217
-1.341494	51.809084
-1.341289	51.809009
-1.341084	51.808947
-1.340907	51.808864
-1.340744	51.808757
-1.340596	51.808636
-1.340505	51.808515
-1.340472	51.808373
-1.340424	51.808221
-1.340361	51.808069
-1.340241	51.80791
-1.340121	51.807771
-1.339914	51.807658
-1.339693	51.807546
-1.339488	51.80744
-1.339296	51.807333
-1.339104	51.807227
-1.338883	51.807114
-1.338649	51.807021
-1.3384	51.806941
-1.33818	51.80686
-1.337959	51.80676
-1.337768	51.806652
-1.337605	51.806539
-1.33747	51.806393
-1.337335	51.806247
-1.337229	51.806101
-1.337181	51.805954
-1.33722	51.805794
-1.337302	51.805615
-1.337326	51.805449
-1.337379	51.80527
-1.337374	51.805093
-1.337355	51.804921
-1.337278	51.804763
-1.337143	51.804612
-1.337008	51.804455
-1.336888	51.804297
-1.336753	51.80414
-1.33659	51.803996
-1.336441	51.803852
-1.33632	51.803695
-1.336229	51.803532
-1.336151	51.803355
-1.336089	51.803197
-1.336026	51.803025
-1.335949	51.802855
-1.335843	51.802696
-1.335693	51.802537
-1.335472	51.802425
-1.335266	51.802299
-1.335074	51.802179
-1.334853	51.802067
-1.334647	51.801954
-1.334469	51.801828
-1.334305	51.80169
-1.334127	51.801539
-1.333935	51.801408
-1.333729	51.801295
-1.333536	51.801151
-1.333359	51.801014
-1.33318	51.800858
-1.333017	51.800708
-1.332853	51.800552
-1.332703	51.800382
-1.332569	51.80022
-1.33239	51.800058
-1.332183	51.799908
-1.331991	51.799765
-1.331814	51.79964
-1.331651	51.799516
-1.331545	51.799371
-1.331527	51.799219
-1.331522	51.799059
-1.331503	51.798893
-1.331426	51.798747
-1.331349	51.798587
-1.331257	51.798428
-1.331165	51.798281
-1.331074	51.798127
-1.331011	51.79798
-1.330949	51.797832
-1.330944	51.797665
-1.330895	51.797486
-1.330875	51.797314
-1.330841	51.797134
-1.330821	51.796967
-1.330845	51.7968
-1.33084	51.796633
-1.330806	51.796473
-1.330715	51.796302
-1.330623	51.796137
-1.330545	51.795965
-1.330482	51.795793
-1.330448	51.795627
-1.330429	51.795467
-1.33041	51.795319
-1.330362	51.79516
-1.330299	51.795006
-1.330193	51.79484
-1.330058	51.794682
-1.329909	51.794554
-1.329717	51.794454
-1.329497	51.794359
-1.329306	51.794265
-1.329114	51.79417
-1.328937	51.794055
-1.328788	51.793928
-1.328638	51.793775
-1.32846	51.793635
-1.328282	51.79349
-1.328118	51.793344
-1.327925	51.793199
-1.327733	51.793061
-1.327554	51.792908
-1.327419	51.792744
-1.327341	51.79256
-1.327307	51.792375
-1.327272	51.792183
-1.327238	51.792011
-1.327218	51.791831
