longitude	latitude
-1.353356	51.822613
-1.35337	51.822613
-1.353385	51.822613
-1.353384	51.822593
-1.353397	51.822548
-1.353453	51.822476
-1.353493	51.822373
-1.35346	51.822257
-1.353384	51.822141
-1.353264	51.822013
-1.353173	51.821883
-1.353096	51.821761
-1.353034	51.821645
-1.353001	51.821528
-1.352998	51.821417
-1.353024	51.821344
-1.353153	51.82129
-1.353311	51.821267
-1.353514	51.821276
-1.353719	51.821342
-1.353895	51.821429
-1.354042	51.821514
-1.354175	51.821619
-1.354266	51.821737
-1.354283	51.82185
-1.354185	51.821965
-1.354041	51.822036
-1.353839	51.822074
-1.353621	51.822081
-1.353373	51.82205
-1.353139	51.821993
-1.352949	51.821924
-1.352844	51.821834
-1.352826	51.82173
-1.352853	51.821665
-1.352967	51.821612
-1.353053	51.821584
-1.353169	51.821588
-1.353257	51.821605
-1.353315	51.821623
-1.353331	51.821679
-1.353317	51.821722
-1.353231	51.821765
-1.353015	51.821811
-1.352826	51.821831
-1.352579	51.821808
-1.352345	51.821746
-1.352154	51.821676
-1.351992	51.821601
-1.351902	51.821517
-1.351899	51.821421
-1.351939	51.821316
-1.351994	51.821199
-1.352019	51.821088
-1.352073	51.82097
-1.352142	51.820873
-1.352213	51.820813
-1.352357	51.82079
-1.352529	51.820754
-1.352717	51.820724
-1.352874	51.820681
-1.352959	51.820614
-1.352927	51.820541
-1.352838	51.820494
-1.352678	51.820475
-1.352532	51.820486
-1.352374	51.820542
-1.352217	51.820638
-1.352088	51.820721
-1.352047	51.82079
-1.352004	51.820839
-1.351932	51.820864
-1.351873	51.820836
-1.351799	51.820803
-1.351667	51.820789
-1.351477	51.820751
-1.351258	51.820719
-1.350996	51.820694
-1.350633	51.820715
-1.35027	51.820709
-1.349906	51.820679
-1.349571	51.820635
-1.349235	51.820567
-1.34887	51.820518
-1.348535	51.820457
-1.34817	51.82039
-1.34782	51.820316
-1.347469	51.820231
-1.347104	51.820158
-1.346753	51.820072
-1.346403	51.819986
-1.346096	51.819894
-1.345846	51.819794
-1.345698	51.819681
-1.345636	51.819567
-1.345618	51.819433
-1.345629	51.819307
-1.345712	51.819148
-1.345824	51.819007
-1.345995	51.818899
-1.346241	51.818842
-1.346516	51.818822
-1.346822	51.818866
-1.347086	51.818924
-1.347348	51.818956
-1.347596	51.818951
-1.347784	51.818914
-1.347884	51.81884
-1.34791	51.818722
-1.347877	51.818572
-1.347772	51.818405
-1.347564	51.81822
-1.347385	51.818016
-1.34722	51.817818
-1.347071	51.817626
-1.347008	51.817439
-1.346916	51.817239
-1.346838	51.817045
-1.346775	51.816839
-1.34674	51.816631
-1.34675	51.816436
-1.346746	51.81628
-1.346741	51.816121
-1.346722	51.815968
-1.346717	51.815803
-1.346771	51.815649
-1.346854	51.815513
-1.346995	51.815397
-1.347139	51.81535
-1.347282	51.815289
-1.347351	51.815197
-1.347377	51.815086
-1.347402	51.814967
-1.347441	51.814856
-1.347496	51.814739
-1.347506	51.814615
-1.347487	51.814497
-1.347439	51.814361
-1.347362	51.814219
-1.34727	51.814071
-1.347135	51.813923
-1.346956	51.813777
-1.346764	51.813631
-1.346584	51.813459
-1.346449	51.813288
-1.346284	51.813105
-1.346075	51.812916
-1.345882	51.81274
-1.345688	51.81257
-1.345509	51.812401
-1.345389	51.812236
-1.345225	51.812073
-1.34506	51.811903
-1.344925	51.811721
-1.344833	51.811551
-1.344741	51.811381
-1.344679	51.811216
-1.344645	51.811058
-1.344655	51.810899
-1.344636	51.810747
-1.344632	51.810594
-1.344657	51.810453
-1.344711	51.810325
-1.344765	51.810202
-1.344849	51.810091
-1.344918	51.809968
-1.344972	51.809858
-1.345012	51.809736
-1.345008	51.809601
-1.344902	51.80946
-1.344738	51.809308
-1.344487	51.809163
-1.344279	51.809011
-1.344115	51.808853
-1.34398	51.808689
-1.343845	51.808519
-1.343651	51.808356
-1.343473	51.808187
-1.343279	51.808018
-1.3431	51.807836
-1.342936	51.807667
-1.342801	51.80751
-1.342681	51.80734
-1.342604	51.807188
-1.342512	51.807023
-1.342391	51.806846
-1.342241	51.806663
-1.342047	51.806481
-1.341825	51.806313
-1.341617	51.806137
-1.341452	51.805955
-1.341332	51.805785
-1.341254	51.805613
-1.341162	51.805436
-1.341012	51.80526
-1.340848	51.805083
-1.34064	51.804913
-1.340475	51.804749
-1.340283	51.804598
-1.340075	51.804448
-1.339896	51.804272
-1.339775	51.804088
-1.339668	51.803911
-1.33959	51.803721
-1.339455	51.803537
-1.33929	51.803359
-1.339154	51.803175
-1.338989	51.802985
-1.338767	51.802827
-1.338559	51.802663
-1.338366	51.802523
-1.338158	51.802384
-1.337879	51.802245
-1.337513	51.802134
-1.337205	51.802015
-1.336896	51.801877
-1.336602	51.801745
-1.33641	51.8016
-1.336217	51.801455
-1.336038	51.80131
-1.335904	51.801164
-1.335783	51.801018
-1.335619	51.800872
-1.335398	51.800747
-1.335191	51.800602
-1.334984	51.800446
-1.334762	51.800288
-1.334511	51.800145
-1.334218	51.800021
-1.33391	51.799903
-1.333631	51.799773
-1.333395	51.799636
-1.333231	51.799484
-1.333038	51.799334
-1.332832	51.799201
-1.332596	51.799076
-1.332346	51.798946
-1.332081	51.798801
-1.33183	51.798658
-1.331594	51.798501
-1.3314	51.798325
-1.331221	51.798154
-1.331057	51.797983
-1.330893	51.797825
-1.330743	51.797672
-1.330623	51.797526
-1.33056	51.797373
-1.330584	51.797212
-1.330667	51.797064
-1.330808	51.796946
-1.330936	51.796847
-1.331063	51.796743
-1.331147	51.796645
-1.331187	51.796523
-1.331123	51.796344
-1.330988	51.796185
-1.330852	51.796007
-1.33076	51.795823
-1.330668	51.795651
-1.33059	51.795467
-1.330498	51.795281
-1.330348	51.795105
-1.330139	51.794909
-1.329931	51.794726
-1.329737	51.794556
-1.329602	51.794386
-1.329452	51.794202
-1.329331	51.794038
-1.32924	51.793881
-1.329178	51.793734
-1.329159	51.793601
-1.329169	51.793446
-1.329179	51.793304
-1.329175	51.79317
-1.329127	51.793028
-1.329079	51.792849
-1.329073	51.792675
-1.329082	51.792501
-1.329092	51.792352
-1.329073	51.792196
-1.329024	51.792042
-1.328947	51.791869
-1.32884	51.791696
-1.328733	51.791517
-1.328626	51.791339
-1.328476	51.791155
-1.328369	51.790989
-1.328277	51.790798
-1.328243	51.790625
-1.328224	51.790466
-1.328176	51.790319
-1.328099	51.790167
-1.327949	51.790003
-1.3278	51.789844
-1.327665	51.789687
-1.327544	51.789511
-1.327438	51.789334
-1.327317	51.789164
-1.327196	51.788999
-1.327018	51.788836
-1.326811	51.788692
-1.326589	51.788542
-1.326368	51.788393
-1.32619	51.788242
-1.326012	51.788091
-1.325906	51.787939
-1.325814	51.787786
-1.325752	51.787646
-1.325748	51.787499
-1.325714	51.787346
-1.325638	51.787199
-1.325518	51.78706
-1.325326	51.78694
-1.325134	51.786827
-1.324884	51.78671
-1.324634	51.786585
-1.324413	51.786447
-1.324192	51.786303
-1.323956	51.786171
-1.323706	51.786052
-1.32347	51.78592
-1.323234	51.785788
-1.323057	51.785675
-1.322966	51.785548
-1.322905	51.785419
-1.3228	51.785311
-1.322652	51.78521
-1.32249	51.785104
-1.322326	51.784978
-1.322178	51.784828
-1.322057	51.784671
-1.321952	51.784526
-1.321875	51.784387
-1.321814	51.78426
-1.321767	51.784138
-1.321691	51.784024
-1.321601	51.783915
-1.321497	51.783839
-1.321306	51.783751
-1.321057	51.783677
-1.320737	51.783636
-1.320432	51.783594
-1.320126	51.783553
-1.319807	51.783531
-1.319474	51.783529
-1.319126	51.783546
-1.318764	51.78355
-1.318445	51.783523
-1.318125	51.783476
-1.317834	51.783428
-1.317571	51.783361
-1.317351	51.783281
-1.317203	51.783155
-1.317127	51.783022
-1.317065	51.782902
-1.317048	51.782789
-1.31706	51.782713
-1.317088	51.782675
-1.317103	51.782687
-1.317103	51.782689
-1.31706	51.782682
-1.317002	51.782683
-1.316973	51.782678
-1.316958	51.782665
-1.316971	51.782633
-1.317014	51.782607
-1.317145	51.782606
-1.317275	51.782599
-1.317391	51.782604
-1.317493	51.782628
-1.31761	51.782672
-1.317699	51.782734
-1.317716	51.782817
-1.317674	51.782887
-1.317575	51.782952
-1.317503	51.78299
-1.317417	51.783004
-1.317373	51.783017
-1.317359	51.783023
-1.317417	51.783009
-1.317431	51.782997
-1.31743	51.782984
-1.31743	51.782971
